GEOG_ID,AIRO_AI_ID,ED_Ward,ED_WARD_ID,County_UD,Country,Average,1 Room (Households),2 Rooms (Households),3 Rooms (Households),4 Rooms (Households),5 Rooms (Households),6 Rooms (Households),7 Rooms (Households),8 or more Rooms (Households),Total (Households),% 1 Room (Households),% 2 Rooms (Households),% 3 Rooms (Households),% 4 Rooms (Households),% 5 Rooms (Households),% 6 Rooms (Households),% 7 Rooms (Households),% 8 or more Rooms (Households),% Total (Households)
N00000001,18489,Aldergrove,95AA01,Antrim,NI,6.1,0,0,12,6,52,152,60,28,310,0,0,3.9,1.9,16.8,49,19.4,9,100
N00000002,18490,Aldergrove,95AA01,Antrim,NI,5.8,1,0,12,15,32,34,14,33,141,0.7,0,8.5,10.6,22.7,24.1,9.9,23.4,100
N00000003,18491,Aldergrove,95AA01,Antrim,NI,7.1,0,0,2,0,5,17,14,40,78,0,0,2.6,0,6.4,21.8,17.9,51.3,100
N00000004,18492,Aldergrove,95AA01,Antrim,NI,6.8,0,1,3,11,24,31,39,86,195,0,0.5,1.5,5.6,12.3,15.9,20,44.1,100
N00000005,18493,Aldergrove,95AA01,Antrim,NI,6.8,0,0,2,4,18,22,19,59,124,0,0,1.6,3.2,14.5,17.7,15.3,47.6,100
N00000006,18494,Aldergrove,95AA01,Antrim,NI,6.7,0,0,1,8,13,14,10,40,86,0,0,1.2,9.3,15.1,16.3,11.6,46.5,100
N00000007,18495,Aldergrove,95AA01,Antrim,NI,6.6,0,1,4,0,16,16,18,34,89,0,1.1,4.5,0,18,18,20.2,38.2,100
N00000008,18496,Aldergrove,95AA01,Antrim,NI,5.6,0,5,8,34,19,13,37,22,138,0,3.6,5.8,24.6,13.8,9.4,26.8,15.9,100
N00000009,18497,Aldergrove,95AA01,Antrim,NI,6.1,0,2,10,36,59,44,39,85,275,0,0.7,3.6,13.1,21.5,16,14.2,30.9,100
N00000010,18498,Aldergrove,95AA01,Antrim,NI,6.3,0,0,2,6,23,16,14,25,86,0,0,2.3,7,26.7,18.6,16.3,29.1,100
N00000011,18499,Balloo,95AA02,Antrim,NI,5.2,0,4,11,24,48,29,10,10,136,0,2.9,8.1,17.6,35.3,21.3,7.4,7.4,100
N00000012,18500,Balloo,95AA02,Antrim,NI,4.8,0,2,19,14,63,18,3,2,121,0,1.7,15.7,11.6,52.1,14.9,2.5,1.7,100
N00000013,18501,Balloo,95AA02,Antrim,NI,4.8,2,14,16,26,34,21,7,16,136,1.5,10.3,11.8,19.1,25,15.4,5.1,11.8,100
N00000014,18502,Balloo,95AA02,Antrim,NI,4.9,0,2,23,32,105,25,13,5,205,0,1,11.2,15.6,51.2,12.2,6.3,2.4,100
