GEOG_ID,AIRO_AI_ID,ED_Ward,ED_WARD_ID,County_UD,Country,House/Bungalow,Flat/Apartment/BedSit,Caravan/Mobile home/Temperory,% House/Bungalow,% Flat/Apartment/BedSit,% Caravan/Mobile home/Temperory
N00000001,18489,Aldergrove,95AA01,Antrim,NI,362,6,0,98.4,1.6,0
N00000002,18490,Aldergrove,95AA01,Antrim,NI,121,26,0,82.3,17.7,0
N00000003,18491,Aldergrove,95AA01,Antrim,NI,78,1,0,98.7,1.3,0
N00000004,18492,Aldergrove,95AA01,Antrim,NI,200,0,2,99,0,1
N00000005,18493,Aldergrove,95AA01,Antrim,NI,135,0,0,100,0,0
N00000006,18494,Aldergrove,95AA01,Antrim,NI,88,0,1,98.9,0,1.1
N00000007,18495,Aldergrove,95AA01,Antrim,NI,90,6,2,91.8,6.1,2
N00000008,18496,Aldergrove,95AA01,Antrim,NI,125,28,0,81.7,18.3,0
N00000009,18497,Aldergrove,95AA01,Antrim,NI,247,44,1,84.6,15.1,0.3
N00000010,18498,Aldergrove,95AA01,Antrim,NI,90,0,0,100,0,0
N00000011,18499,Balloo,95AA02,Antrim,NI,119,26,0,82.1,17.9,0
N00000012,18500,Balloo,95AA02,Antrim,NI,103,22,0,82.4,17.6,0
N00000013,18501,Balloo,95AA02,Antrim,NI,109,45,0,70.8,29.2,0
N00000014,18502,Balloo,95AA02,Antrim,NI,194,57,0,77.3,22.7,0
N00000015,18503,Balloo,95AA02,Antrim,NI,97,29,0,77,23,0
N00000016,18504,Balloo,95AA02,Antrim,NI,70,58,0,54.7,45.3,0
N00000017,18505,Ballycraigy,95AA03,Antrim,NI,146,4,0,97.3,2.7,0
N00000018,18506,Ballycraigy,95AA03,Antrim,NI,95,2,0,97.9,2.1,0
N00000019,18507,Ballycraigy,95AA03,Antrim,NI,113,6,0,95,5,0
N00000020,18508,Ballycraigy,95AA03,Antrim,NI,127,0,0,100,0,0
N00000021,18509,Ballycraigy,95AA03,Antrim,NI,106,32,0,76.8,23.2,0
N00000022,18510,Ballycraigy,95AA03,Antrim,NI,129,0,0,100,0,0
N00000023,18511,Ballycraigy,95AA03,Antrim,NI,119,1,0,99.2,0.8,0
N00000024,18512,Clady,95AA04,Antrim,NI,176,1,1,98.9,0.6,0.6
N00000025,18513,Clady,95AA04,Antrim,NI,162,0,3,98.2,0,1.8
N00000026,18514,Clady,95AA04,Antrim,NI,157,1,3,97.5,0.6,1.9
N00000027,18515,Clady,95AA04,Antrim,NI,188,1,1,98.9,0.5,0.5
N00000028,18516,Clady,95AA04,Antrim,NI,84,4,0,95.5,4.5,0
N00000029,18517,Clady,95AA04,Antrim,NI,136,1,4,96.5,0.7,2.8
N00000030,18518,Clady,95AA04,Antrim,NI,134,1,3,97.1,0.7,2.2
N00000031,18519,Cranfield,95AA05,Antrim,NI,214,0,1,99.5,0,0.5
N00000032,18520,Cranfield,95AA05,Antrim,NI,137,0,0,100,0,0
N00000033,18521,Cranfield,95AA05,Antrim,NI,179,1,1,98.9,0.6,0.6
N00000034,18522,Cranfield,95AA05,Antrim,NI,161,3,0,98.2,1.8,0
N00000035,18523,Cranfield,95AA05,Antrim,NI,124,4,0,96.9,3.1,0
N00000036,18524,Cranfield,95AA05,Antrim,NI,133,2,0,98.5,1.5,0
