Datacode,SA_NAME,GEOGID,Electoral Division CSO Code,Electoral Division Name,County,NUTS_III,NUTS_II,Planning Region,Persons_In_Communal_Establishments_Establishments_2011,Persons_In_Communal_Establishments_Persons_2011
48,17001001,A017001001,1011,011 Agha,Carlow,South-East,SE,Southern,0,0
49,17002001,A017002001,1012,012 Ballinacarrig,Carlow,South-East,SE,Southern,0,0
50,17002002,A017002002,1012,012 Ballinacarrig,Carlow,South-East,SE,Southern,0,0
51,17002003,A017002003,1012,012 Ballinacarrig,Carlow,South-East,SE,Southern,1,6
52,17003001,A017003001,1013,013 Ballintemple,Carlow,South-East,SE,Southern,0,0
53,17003002,A017003002,1013,013 Ballintemple,Carlow,South-East,SE,Southern,0,0
54,17004001,A017004001,1014,014 Ballon,Carlow,South-East,SE,Southern,0,0
55,17004002,A017004002,1014,014 Ballon,Carlow,South-East,SE,Southern,1,23
56,17004003,A017004003,1014,014 Ballon,Carlow,South-East,SE,Southern,0,0
57,17005001,A017005001,1015,015 Ballyellin,Carlow,South-East,SE,Southern,0,0
58,17005002,A017005002,1015,015 Ballyellin,Carlow,South-East,SE,Southern,0,0
59,17006001,A017006001,1016,016 Ballymoon,Carlow,South-East,SE,Southern,0,0
203,17007001,A017007001,1049,049 Ballymurphy,Carlow,South-East,SE,Southern,0,0
60,17008001,A017008001,1017,017 Borris,Carlow,South-East,SE,Southern,0,0
61,17008002,A017008002,1017,017 Borris,Carlow,South-East,SE,Southern,0,0
62,17008003,A017008003,1017,017 Borris,Carlow,South-East,SE,Southern,1,9
63,17008004,A017008004,1017,017 Borris,Carlow,South-East,SE,Southern,1,52
64,17009001,A017009001,1018,018 Burton Hall,Carlow,South-East,SE,Southern,0,0
65,17009002,A017009002,1018,018 Burton Hall,Carlow,South-East,SE,Southern,0,0
66,17010001,A017010001,1019,019 Carlow Rural,Carlow,South-East,SE,Southern,1,18
67,17010002,A017010002,1019,019 Carlow Rural,Carlow,South-East,SE,Southern,0,0
68,17010003,A017010003,1019,019 Carlow Rural,Carlow,South-East,SE,Southern,1,8
69,17010004,A017010004,1019,019 Carlow Rural,Carlow,South-East,SE,Southern,0,0
70,17010005,A017010005,1019,019 Carlow Rural,Carlow,South-East,SE,Southern,0,0
71,17010006,A017010006,1019,019 Carlow Rural,Carlow,South-East,SE,Southern,0,0
72,17010007,A017010007,1019,019 Carlow Rural,Carlow,South-East,SE,Southern,0,0
73,17010008,A017010008,1019,019 Carlow Rural,Carlow,South-East,SE,Southern,0,0
74,17010009,A017010009,1019,019 Carlow Rural,Carlow,South-East,SE,Southern,0,0
75,17010010,A017010010,1019,019 Carlow Rural,Carlow,South-East,SE,Southern,1,52
76,17010011,A017010011,1019,019 Carlow Rural,Carlow,South-East,SE,Southern,0,0
77,17010012,A017010012,1019,019 Carlow Rural,Carlow,South-East,SE,Southern,0,0
78,17010013,A017010013,1019,019 Carlow Rural,Carlow,South-East,SE,Southern,0,0
79,17010014,A017010014,1019,019 Carlow Rural,Carlow,South-East,SE,Southern,0,0
80,17010015,A017010015,1019,019 Carlow Rural,Carlow,South-East,SE,Southern,0,0
81,17010016,A017010016,1019,019 Carlow Rural,Carlow,South-East,SE,Southern,0,0
82,17010017,A017010017,1019,019 Carlow Rural,Carlow,South-East,SE,Southern,1,8
83,17010018,A017010018,1019,019 Carlow Rural,Carlow,South-East,SE,Southern,0,0
84,17010019,A017010019,1019,019 Carlow Rural,Carlow,South-East,SE,Southern,0,0
85,17010020,A017010020,1019,019 Carlow Rural,Carlow,South-East,SE,Southern,0,0
86,17010021,A017010021,1019,019 Carlow Rural,Carlow,South-East,SE,Southern,0,0
87,17010022,A017010022,1019,019 Carlow Rural,Carlow,South-East,SE,Southern,0,0
88,17010023,A017010023,1019,019 Carlow Rural,Carlow,South-East,SE,Southern,0,0
89,17010024,A017010024,1019,019 Carlow Rural,Carlow,South-East,SE,Southern,0,0
90,17010025,A017010025,1019,019 Carlow Rural,Carlow,South-East,SE,Southern,0,0
91,17010026,A017010026,1019,019 Carlow Rural,Carlow,South-East,SE,Southern,0,0
92,17010027,A017010027,1019,019 Carlow Rural,Carlow,South-East,SE,Southern,0,0
93,17010028,A017010028,1019,019 Carlow Rural,Carlow,South-East,SE,Southern,0,0
94,17010029,A017010029,1019,019 Carlow Rural,Carlow,South-East,SE,Southern,0,0
95,17010030,A017010030,1019,019 Carlow Rural,Carlow,South-East,SE,Southern,0,0
96,17010031,A017010031,1019,019 Carlow Rural,Carlow,South-East,SE,Southern,0,0
97,17010032,A017010032,1019,019 Carlow Rural,Carlow,South-East,SE,Southern,0,0
98,17010033,A017010033,1019,019 Carlow Rural,Carlow,South-East,SE,Southern,0,0
99,17010034,A017010034,1019,019 Carlow Rural,Carlow,South-East,SE,Southern,0,0
100,17010035,A017010035,1019,019 Carlow Rural,Carlow,South-East,SE,Southern,3,24
101,17010036,A017010036,1019,019 Carlow Rural,Carlow,South-East,SE,Southern,0,0
102,17010037,A017010037,1019,019 Carlow Rural,Carlow,South-East,SE,Southern,0,0
103,17010038,A017010038,1019,019 Carlow Rural,Carlow,South-East,SE,Southern,0,0
104,17010039,A017010039,1019,019 Carlow Rural,Carlow,South-East,SE,Southern,0,0
105,17010040,A017010040,1019,019 Carlow Rural,Carlow,South-East,SE,Southern,0,0
106,17010041,A017010041,1019,019 Carlow Rural,Carlow,South-East,SE,Southern,0,0
107,17010042,A017010042,1019,019 Carlow Rural,Carlow,South-East,SE,Southern,0,0
108,17010043,A017010043,1019,019 Carlow Rural,Carlow,South-East,SE,Southern,0,0
109,17010044,A017010044,1019,019 Carlow Rural,Carlow,South-East,SE,Southern,0,0
110,17010045,A017010045,1019,019 Carlow Rural,Carlow,South-East,SE,Southern,0,0
111,17010046,A017010046,1019,019 Carlow Rural,Carlow,South-East,SE,Southern,0,0
112,17010047,A017010047,1019,019 Carlow Rural,Carlow,South-East,SE,Southern,0,0
113,17010048,A017010048,1019,019 Carlow Rural,Carlow,South-East,SE,Southern,0,0
114,17010049,A017010049,1019,019 Carlow Rural,Carlow,South-East,SE,Southern,0,0
1,17011001,A017011001,1001,001 Carlow Urban,Carlow,South-East,SE,Southern,0,0
2,17011002,A017011002,1001,001 Carlow Urban,Carlow,South-East,SE,Southern,0,0
3,17011003,A017011003,1001,001 Carlow Urban,Carlow,South-East,SE,Southern,1,5
4,17011004,A017011004,1001,001 Carlow Urban,Carlow,South-East,SE,Southern,0,0
5,17011005,A017011005,1001,001 Carlow Urban,Carlow,South-East,SE,Southern,0,0
6,17011006,A017011006,1001,001 Carlow Urban,Carlow,South-East,SE,Southern,0,0
7,17011007,A017011007,1001,001 Carlow Urban,Carlow,South-East,SE,Southern,0,0
8,17011008,A017011008,1001,001 Carlow Urban,Carlow,South-East,SE,Southern,1,2
9,17011009,A017011009,1001,001 Carlow Urban,Carlow,South-East,SE,Southern,8,138
